job_id,service_category,service_subtype,zip_code,booking_month,job_description,estimate_lo,estimate_hi,original_estimate,final_price,deadline
c304a87b43ab,Painting,House Painter,30533,2026-03,Lightly sand and stain/varnish 12 interior stairs,300,450,375,,Within 1 month
724c34e3d1eb,Handyman,Handyman,90069,2026-03,"Carry boxed microwave from apartment to nearby UPS store | 1 st First floor, elevator OR stairs are available for pick-up. DELIVER INSIDE to Santa Monica Blvd UPS Store. Either 7111 Santa Monica Bl., Suite B, (LaBrea/Santa Monica Blvd. 90046). Or, 2nd choice 8581 Santa Monica Bl., West Hollywood, 90069. Near ""The Ramada"". LOCATION #2 = CLOSED ON SUNDAYS. (NEED TO RETURN MONDAY OR TUESDAY BUSINESS HOURS. I WILL TAKE A BUS TO MEET YOU AT UPS LOCATION SELECTED. I will handle everything else. Thank you in advance!",60,120,90,,As soon as possible
bd6fc2484888,Roofing,Gutter cleaning,77002,2026-02,"Clean gutters and install leaf guards, single story",183.14,366.28,274.71,310.95,
7cd240b28b54,Cleaning,Deep cleaning,32701,2025-11,"Post-renovation deep clean, 2BR condo",268.46,536.92,402.69,351.03,Within 1 month
c49eb5e7bb09,Painting,Interior painting,77079,2026-04,Small painting patch repair with homeowner-supplied paint | Multiple of repair,60,180,120,,I'm flexible
386e8a0ee4d9,Electrical,Electrician,31206,2026-03,Diagnose and fix electrical overload after electric tankless install,350,2400,1375,,As soon as possible
d9baff239c91,Appliance Repair,Appliance Repair,32819,2026-02,"Install freestanding range, connect gas line",141.65,283.31,212.48,180.55,
5cb58b248a74,Handyman,Handyman,75104,2026-03,Install supplied kitchen sink base cabinet | Kitchen sink base cabinet installed,200,420,310,,As soon as possible
c2487d522173,Moving,Residential Moving,10001,2026-02,"Local move, 2BR apartment, 15-min drive",256.51,513.01,384.76,391.88,Flexible
96b6182f87de,Electrical,Light fixture installation,27610,2026-03,Replace existing standard ceiling light fixture,120,225,172.5,,As soon as possible
dbb3f5d0a54a,Cleaning,Window washing (exterior),77007,2025-09,"Exterior window wash, 2-story, 20 windows",196.9,393.79,295.35,281.76,Within 1 week
4ddfd5295fd6,Appliance Repair,Appliance Repair,32256,2025-09,"Install over-the-range microwave, vent existing",156.58,313.16,234.87,253.35,
e58bb6dcf394,Handyman,Door repair / installation,28215,2026-03,Interior door panel and lockset replacement | Doom lock and panel,250,750,500,,As soon as possible
59be4ffadea6,Handyman,Door repair / installation,75098,2026-04,Adjust interior door hinges and fit (we supply parts) | Price-on-fix-door-,110,180,145,,As soon as possible
71b38cb18504,Handyman,Handyman,33467,2026-03,Recaulk 20 windows and hang supplied bifold door | Recaulk windows and hang bifold door,900,1800,1350,,Within 1-2 weeks
fe44376f5c09,HVAC,Air Duct Cleaning,32807,2026-03,Vacuum and brush air duct cleaning for <10 vents | Nothing else,250,400,325,,Within 1-2 weeks
87ddad134d43,Painting,House Painter,91761,2026-03,"Paint exterior trim, paint/replace gate and security door",600,2200,1400,,I'm flexible
06ad5edd86e0,Handyman,Handyman,60559,2026-04,Replace bathroom ceiling and supply/install exhaust fan | Ceiling in bathroom and install a exhaust fan,850,1700,1275,,Within 1-2 weeks
2ad1d9248424,Plumbing,Faucet / fixture installation,89029,2026-03,Repair or replace two faucet valves/washers | Replace values for washing machine,160,320,240,,As soon as possible
d232184b1809,Landscaping,Garden bed design / planting,33418,2025-11,Plant 12 shrubs and perennials in front beds,261.64,523.28,392.46,432.45,
f71a6b4573d3,Handyman,Handyman,4864,2026-03,Repair leaky 2-handle compression faucet | Hoses in sink need attachment. Have all needed parts.,120,220,170,,As soon as possible
e30364774f0a,Landscaping,Sprinkler repair,7047,2026-05,"Replace 3 broken sprinkler heads, adjust coverage",79.89,179.76,129.82,148.42,Within 2 weeks
2b8ef4d4e823,Pest Control,Roaches,33480,2025-08,"German cockroach treatment, kitchen and baths, 2 visits",131.05,262.11,196.58,218.13,Within 1 month
2cdfa92b9fc4,HVAC,AC installation / replacement,75228,2025-07,"Install 3-ton split AC, 1500 sq ft home",3819.32,6547.4,5183.36,5276.21,Flexible
b1b9cbe9a6cf,Remodeling,Remodeling,79907,2026-04,"Lower and replace 6–9 ft laminate countertop for accessibility | Existing Countertop 79""x25.5 with double sink 33""x22"".",1100,1700,1400,,As soon as possible
d5202cfaa87f,Handyman,Handyman,6514,2026-04,One-time yard cleanup plus small deck/porch painting (<=100 sq ft) | The porch I need painted is a sun porch in the front of the house it’s used as a sitting area also,500,700,600,,Within 1-2 weeks
e71b7b18ef23,General Contractor,General Contractor,33004,2026-03,Clean painted wood fence and rebuild pergola | clean and repair and/or replace fencing aouncd front porch of my townhouse. Ready ASAP. Eager tomove on this project,1800,4200,3000,,As soon as possible
99ee870b25db,HVAC,AC installation / replacement,75050,2026-04,"Install 3-ton split AC, 1500 sq ft home",3034.72,5202.38,4118.55,3996.64,Flexible
ab43f022f81c,Plumbing,Faucet / fixture installation,45229,2026-04,Repair single leaky faucet (you supply parts),80,180,130,,I'm flexible
99fb3a5b96a6,Painting,Interior painting,48063,2026-03,Wash and paint two standard interior rooms (doors excluded) | Install wiñdow and door moulding. Install byfold door,400,950,675,,As soon as possible
bb49c53bd263,HVAC,Heating installation / replacement,33511,2026-01,Install 80k BTU gas furnace,2244.99,4040.98,3142.98,3305.05,
1e3803e3f3e1,Painting,House Painter,10030,2026-03,"Painting interior hallway or small wall area | Painting small area in kitchen, bathroom and hallway",150,350,250,,Within 1 month
6658580ba2dd,Flooring,Flooring,8753,2026-04,Install carpet in large living room + two hallways (no stairs) | Need 300 sf Carpet installed,900,1500,1200,,Within 1-2 weeks
498e0c0c414c,Handyman,General repairs,11692,2026-03,Install or repair ~20 ft crown molding,250,550,400,,As soon as possible
ef7a023cd036,Appliance Repair,Appliance Repair,76001,2026-05,"Repair fridge not cooling, check compressor",144.23,336.54,240.38,279.22,Within 2 weeks
71574e147fa1,Painting,House Painter,63301,2026-05,Paint exterior double-car garage door | Hang curtain rods,400,1200,800,,I'm flexible
12da634313d7,Landscaping,Sod installation,75093,2026-01,Install 1000 sq ft bermuda sod in backyard,502.29,1205.5,853.89,683.48,Within 2 weeks
17ee10213d9b,General Contractor,General Contractor,51551,2026-05,Replace or sister one rotted ceiling joist,1200,2400,1800,,I'm flexible
35543fa109d1,Plumbing,Toilet repair / installation,48413,2026-04,Repair running toilet with parts supplied by pro | Replace water valve,150,300,225,,As soon as possible
51eec8373bd6,Landscaping,Mulching,77024,2025-09,Spread 5 cubic yards of mulch in front beds,161.87,323.75,242.81,225.84,Within 1 month
12484421150,Plumbing,Toilet repair / installation,30565,2026-03,Repair running toilet (we supply parts) | Install new toilet,150,350,250,,As soon as possible
1219bf7ef233,Appliance Repair,Appliance Repair,25703,2026-03,Dryer heating element replacement | Nothing I can think of.,120,260,190,,As soon as possible
eadfccb71b44,Handyman,Handyman,34240,2026-04,"Move plants, two small furniture pieces, two plant stands to same-floor storage | No more than 1 hour needed",60,120,90,60,As soon as possible
3309e3883ea9,Plumbing,Plumbing,92115,2026-04,Replace supplied shutoff valve for refrigerator ice maker,120,200,160,,As soon as possible
3fc7cd951ee8,Painting,House Painter,48205,2026-04,"Onsite inspection, minor fascia/trim repair and repaint | Some of the exterior wood needs repair then complete house aluminum siding painted!",300,1200,750,,As soon as possible
6bf76be895da,Handyman,Fence repair,60194,2026-04,Repair 2–3 loose backyard fence posts with supplied materials | I need to replace or repair 4 posts,300,650,475,,As soon as possible
cb7f423e8c37,Electrical,Light fixture installation,70403,2026-03,Install one indoor light fixture (we supply fixture) | Replace with recess lights in both areas and install recess lighting in both bathrooms,200,450,325,,I'm flexible
a9ec7849e183,Handyman,Door repair / installation,44333,2026-04,Replace and install 4 aluminum door thresholds | Doors frames need repairs,360,720,540,,Within 1-2 weeks
221076708aca,Moving,Residential Moving,33411,2026-05,"Local move, 3BR house, 30-min drive, garage",492.36,1181.66,837.01,846.15,Within 1 week
6a25547cf30b,Plumbing,Plumbing,10606,2026-03,"Replace 3 shutoff valves and install dishwasher | Change 3 bathroom valves, one next to toilet, two (cold & hot water) under sink.",350,950,650,,I'm flexible
c7017966913f,Handyman,Handyman,30353,2026-03,Move TV into storage (local pickup and load) | I have a public storage unit,75,150,112.5,,I'm flexible
6e348eb06763,Painting,House Painter,33701,2026-03,Touch-up painting for 6–15 small interior wall spots | Touch up painting and small area painting in a few areas,120,220,170,,As soon as possible
e922a9e73b66,Plumbing,Faucet / fixture installation,32784,2026-04,"Replace two outdoor spigots, priority to failing one",250,450,350,,As soon as possible
ae08ef776d53,Landscaping,Lawn mowing / maintenance,27360,2026-03,One residential mow and edging visit | Lawncare,40,85,62.5,,As soon as possible
94ae5c7efd0d,Appliance Repair,Appliance Repair,10021,2025-12,"Repair fridge not cooling, check compressor",151.27,352.97,252.12,300.3,
733f3fda0606,Plumbing,Faucet / fixture installation,32746,2026-04,Kitchen sink leaking faucet repair (we supply parts) | need to fix the water leak,150,300,225,,As soon as possible
2a49f9dfe69e,Plumbing,Plumbing,35206,2026-05,"Replace 1/2"" copper-sweat washing machine shutoff valve | Thats about it.",150,275,212.5,,Within 1-2 weeks
b0c87a432511,Landscaping,Mulching,32034,2026-03,Spread 5 cubic yards of mulch in front beds,157.82,315.64,236.73,271.86,
9782db6027f5,Handyman,Handyman,35215,2026-03,Install outdoor metal handrail and closet shelving | Need out door railing put up and existing railing painted. Closet shelves put in door painted.,320,960,640,,As soon as possible
03b83534fb9b,Cleaning,"Soft washing (siding, roofs, stucco)",27530,2026-04,Powerwash full vinyl siding exterior,250,450,350,,Within 1-2 weeks
c9ea9e7c6f30,Flooring,Flooring,35228,2026-04,Install supplied laminate plank flooring in small kitchen,700,900,800,,Within 1-2 weeks
a37d6fca050f,Plumbing,Toilet repair / installation,78610,2026-04,Replace two homeowner‑supplied toilets | Just need my 2 toilets replaced with new ones,220,440,330,,Within 1 month
0d02233b2626,Remodeling,Remodeling,36109,2026-04,Add structural support and reframe lower oven cabinet,600,1400,1000,,Within 1-2 weeks
07bc9883c1fb,Painting,House Painter,75036,2026-03,Painting two interior rooms' walls,450,950,700,,I'm flexible
618fe68bbd8d,Landscaping,Lawn mowing / maintenance,75001,2025-07,"Weekly mow and edge, 1/4 acre front and back",37.38,74.75,56.06,53.21,Within 1 month
5e3399399a4d,Pool,Pool Cleaner,45102,2026-04,One-time above-ground pool cleaning and draining (15–24ft) | I supply water hose water extraction pump,200,325,262.5,,Within 1 month
38d0f423e408,Handyman,Handyman,44128,2026-03,Install interior door with associated drywall patching,250,850,550,,Within 1 month
3ba8d888b1c0,Pest Control,Roaches,75040,2026-02,"German cockroach treatment, kitchen and baths, 2 visits",141.1,282.2,211.65,222.6,Within 2 weeks
327ec29056cc,Electrical,Light fixture installation,77380,2026-03,Mount non-electrical light fixture to ceiling joist | Not electrical light fixture,65,140,102.5,,As soon as possible
c61bd8aaeedf,Handyman,Weather stripping / insulation,27405,2026-04,Install new weatherstripping and replace threshold (we supply materials) | Weatherstripping replacement for 3 single : swing open doors,150,300,225,,Within 1-2 weeks
da19ec9481cb,Painting,Interior painting,75002,2026-04,Bedroom walls painting project,250,450,350,,As soon as possible
762ee53f5339,Handyman,Tv Mounting,67420,2026-04,"Mount 32–49"" TV on plaster wall using homeowner-supplied mount | I have a new in-the-box 43"" Roku smart TV to be mounted on my living room wall. It weighs 14 pounds. I'm not sure if the wall is plaster or dry wall, but it is probably plaster. I have a new full-motion mount. There is no existing mount or TV to be removed from the wall. I prefer to hire a local person from Beloit, Kansas. Experienced in wall-mounting televisions is a must.",150,300,225,,As soon as possible
98b29bed8086,Flooring,Flooring,27265,2026-03,"Install tile floors in kitchen, laundry, powder room | The kitchen, laundry room and powder room is all in close proximity. I will provide the material needed for the job. Would like to have job completed soon. Would like someone to visit to give accurate quote.",1800,4200,3000,,Within 1-2 weeks
4a05d299cf1b,Handyman,Furniture Assembly,79119,2026-03,Assemble one furniture piece at home | Put together a small filing cabinet,80,140,110,,As soon as possible
3720b27e092c,Handyman,Handyman,85747,2026-03,"Replace existing toilet with new unit | Toilet not working, too large for space. Almond color",250,650,450,,As soon as possible
9f386c158e3a,Pest Control,Termites,7052,2026-01,"Full perimeter liquid termite treatment, 1800 sq ft slab",733.18,1374.72,1053.95,1092.56,Within 1 month
c73f38cdda97,HVAC,Heating installation / replacement,33125,2025-07,Install 80k BTU gas furnace,2615.09,4707.16,3661.12,3814.04,Within 2 weeks
bb3d93dacebf,Electrical,Light fixture installation,44110,2026-05,Install supplied light fixture (single ceiling or wall) | I would like to have shiplap installed in hallway ceilings,120,220,170,,Within 1 month
408c6aa439d0,Landscaping,Leaf cleanup / yard debris removal,75248,2025-09,"Fall leaf cleanup, 1/3 acre, bag and haul",138.05,276.09,207.07,179.65,
f7f72e4b14ce,Cleaning,Deep cleaning,33125,2026-04,"Spring deep clean, 4BR/3BA, baseboards and blinds",267.64,481.75,374.69,356.76,Flexible
79ae5bcd3219,Handyman,Handyman,61201,2026-04,Replace/repair exterior trim for 2 doors and 2 windows,600,1200,900,,I'm flexible
a4ec28637201,Handyman,Weather stripping / insulation,30316,2026-05,Install garage door bottom seal and caulk perimeter gaps | Single car small garage made by Overhead Door. Not wood. Townhome,120,350,235,,I'm flexible
cbc565903562,Handyman,Handyman,72529,2026-03,Repair trellis and install two raised garden beds | Finish 2 raised beds and replace trellis post amd reattach with paint and stain,450,950,700,,As soon as possible
ee2d687bce0f,Roofing,Roofing,76034,2025-07,"Patch flat roof leak, apply torch-down membrane",336.22,784.52,560.37,547.69,Flexible
aba49b35712f,Cleaning,"Standard recurring cleaning (weekly, biweekly, monthly)",32578,2026-03,"Biweekly cleaning, 3BR/2BA, 1500 sq ft",123.11,205.18,164.15,172.82,Within 2 weeks
d7888933c3e1,Landscaping,Sprinkler repair,33309,2026-04,"Replace 3 broken sprinkler heads, adjust coverage",79.23,178.27,128.75,108.59,Within 2 weeks
dad1574b7f03,Plumbing,Toilet repair / installation,92393,2026-04,Repair or replace running toilet (we supply parts and labor) | I have two bathroom faucets that need to be replaced. Also two toilets that need to be replaced.,150,400,275,,Within 1-2 weeks
96ca0f3dab10,Painting,Interior painting,8077,2026-04,"Paint walls in living room, dining room, hallway, foyer with minor patching",1000,1600,1300,,I'm flexible
6ecfcccd10de,Electrical,Outlet / switch installation,15063,2026-04,Hang 4 shelves; remove heavy shelf with patch; move TV stand; install outlet | I have 4 small kitchen shelves to be hung; 1 heavy shelf to be removed from my livingroom wall with patchwork to be done from the Molly bolts; and an oak tv stand to be brought up from the family room to the livingroom. Possible outlet to be installed behind the tv.,520,1200,860,,As soon as possible
d7b6fab9aa91,Handyman,Handyman,11783,2026-03,Build wood frames around four skylights at ceiling,800,2000,1400,,As soon as possible
c393f6347e02,Handyman,Handyman,48195,2026-03,Tile full bathroom + half bath replacement | Need 4x4 tiles removed from floor from one and a half bathrooms and both toilets removed new tile put down and toilets put back in place,2200,5000,3600,,Within 1-2 weeks
d380660d4db0,Exterior,Paving,92009,2026-05,Lift and reset 1–5 sunken patio bricks near sliding door,150,300,225,,As soon as possible
5acb56526dbc,Pest Control,Termites,10029,2026-04,"Full perimeter liquid termite treatment, 1800 sq ft slab",816.47,1530.88,1173.68,991.07,Within 1 week
864a936a3532,Electrical,Light fixture installation,66207,2026-03,Install a plug-in lamp/light fixture,80,160,120,,As soon as possible
08e9b4b2c90c,HVAC,AC repair,7047,2025-09,Replace blower motor on indoor air handler,251.71,503.42,377.56,419.69,Within 2 weeks
eb96f31e2575,Cleaning,"Soft washing (siding, roofs, stucco)",76137,2026-02,"Soft wash roof and gutters, single story",240.07,480.13,360.1,379.62,
0bf366a6fdd6,Handyman,Handyman,76513,2026-04,Remove existing mailbox and install supplied mailbox/post | A small amount of sakrete will be needed.,160,360,260,,As soon as possible
0494a59d9174,Landscaping,Lawn mowing / maintenance,75214,2026-03,One-time mow of overgrown 1/3 acre lot,86.36,172.73,129.54,134.11,Within 1 week
a7091d75bf49,Handyman,Furniture Assembly,11238,2026-04,Supply and assemble one large flat-pack wardrobe/bed,320,640,480,,Within 1-2 weeks
a3adef724ce8,Electrical,Outlet / switch installation,50313,2026-03,Repair a wall light switch (we supply switch),90,220,155,,As soon as possible
6106ed9c65a2,Plumbing,Faucet / fixture installation,44111,2026-04,Repair or replace leak at pull-down kitchen faucet base/handle | I have a sink clog,200,500,350,,Within 1-2 weeks
e25d185a526b,Remodeling,Remodeling,48224,2026-03,Closet remodel (materials supplied by contractor) | Attic needs finishing,450,900,675,,Within 1 month
0886327340b1,Electrical,Outlet / switch installation,46375,2026-04,"Replace 9–12 existing switches, including a few 3‑way circuits | One 3way the rest 2way. Also looking to run power from my house to my shed and add a couple of outlets and lights.",540,1080,810,,As soon as possible
042dfcff29e6,Pest Control,Roaches,32034,2025-07,"German cockroach treatment, kitchen and baths, 2 visits",171.63,343.26,257.44,254.85,Within 2 weeks
263b20fc4cb4,Handyman,Handyman,44022,2026-03,Replace two heavy-duty/bearing door hinges | Need asap,140,320,230,,As soon as possible
2fe269ee87e9,Painting,House Painter,36117,2026-03,"Clean one large room ceiling (remove dirt, cobwebs, light stains)",120,220,170,,As soon as possible
0e3642650bc0,Roofing,Roofing,47601,2026-04,Replace broken/missing vinyl panels on one side of small house | Siding repair,1800,3200,2500,,Within 1-2 weeks
cce6b6e944ae,Landscaping,Hedge trimming,33063,2026-05,"Trim 60 linear ft of boxwood hedge, haul debris",120.48,250.99,185.74,173.53,Within 1 month
5240ab05dc75,Roofing,Roofing,49022,2026-03,Replace 6–20 missing roof shingles | This it just need shingles repaired .,450,1100,775,,As soon as possible
14c3280522e8,Landscaping,Sod installation,85014,2026-05,Install 1000 sq ft bermuda sod in backyard,500.27,1200.66,850.47,864.49,Within 2 weeks
b5c8764bfa66,Painting,Interior painting,23059,2026-04,Paint one small room walls (you supply paint) | Tiny powder room - only 2 walls to paint but there’s a million nail holes on both walls,160,300,230,,I'm flexible
6d0cf8b5b954,Plumbing,Plumbing,6489,2026-03,Repair shower valve without known valve type | I changed the cartridge but after 2 months hot and cold water not mixing up currently only hot water coming. If needed I can send a video,250,950,600,,I'm flexible
97d2244a7046,Handyman,Handyman,77449,2026-03,Replace bathroom sink faucet in ZIP 77449 | Have a tub for sure and possible second one plus sink faucets,120,350,235,,Within 1 month
0ce3dc873932,Pest Control,Rodents (mice / rats),33316,2026-01,"Rat removal and attic cleanup, bait stations",333.16,666.32,499.74,470.46,Within 2 weeks
6c4878bc9fe1,Plumbing,Water heater installation / replacement,44053,2026-03,Remove old and install new natural-gas water heater in basement,900,2000,1450,,As soon as possible
1037a4b06c1b,HVAC,AC repair,85001,2025-11,"Fix frozen evaporator coil, check airflow and filter",126.84,295.95,211.39,226.36,
7.80238E+15,Electrical,Electrician,34491,2026-03,Replace bathroom vent fan (customer supplies fan) | It’s really quite simple replace bathroom vent fan,120,300,210,,As soon as possible
0eaf5b92c132,Roofing,Roofing,33434,2025-06,"Patch flat roof leak, apply torch-down membrane",312.84,729.96,521.4,583.38,Within 1 month
d0fce2877f1a,Handyman,Handyman,73047,2026-03,"Repair/replace door, cabinet repair, drywall patch, painting | Have a small hole in bedroom door that needs repair or replacement and painted along with another door and I have a drawer that broken and have a small hole in the wall and dents in the refrigerator door",600,2100,1350,,Within 1-2 weeks
cbea5b1e12b2,Electrical,Outlet / switch installation,32812,2026-03,Repair four switches/outlets (minor electrical) | Needing new digital doorknob installed and blinds hung.,240,880,560,,As soon as possible
aaf758307145,Handyman,Drywall repair / patching,95678,2026-04,Install new drywall ceiling — large (200–400 sq ft) | The ceiling is doubled Sheetrock,1600,3200,2400,,As soon as possible
fd99ea8de5c1,Handyman,Shelving / closet organizers,20902,2026-04,"Mount 2 curtain rods and install bathroom shelves on drywall/plaster | I live in an apartment, so it’s not a huge project, but it’s important to me. I really would like to get this completed one day this week , please.",120,220,170,,As soon as possible
